Philipine region I,Philipine Region II,Philipine Region III,Philipine Region IV-A,Philipine Region IV-B,Philipine Region V,Philipine Region VI,Philipine Region IX,Philipine Region X,Philipine Region XI,Phili ARMM,CAR,CARAGA,NCR
7.972001,15.280354,16.626513,13.436018,7.440846,7.185393,13.085804,11.080911,9.228891,11.685663,3.698876,11.036953,10.487614,15.806962
18.415814,16.114695,18.284031,13.082138,3.692659,3.649364,6.613866,3.76158,5.403989,7.162723,0.522194,21.83501,5.069541,13.851857
13.504792,12.133091,19.891922,14.45242,6.478006,7.743303,7.852561,8.975216,25.356848,9.683444,3.491515,14.581579,20.992741,9.196055
27.912051,22.177507,41.690003,32.186415,6.204673,5.377913,17.591413,9.175882,20.4513,9.20341,1.90641,44.59141,31.130395,21.864219
9.073028,4.036541,16.657229,11.97438,6.314006,6.002733,14.908687,10.288663,19.743105,13.391293,4.155545,10.677479,20.150536,13.674572
2.481787,0.586707,2.231072,0.65182,0.191334,0.557875,1.229582,1.824231,0.276369,2.996074,0.192783,0,1.559639,4.132564
1.772705,1.267286,1.256332,1.410403,0.109333,2.097609,3.199709,3.009981,2.331863,8.590953,0.235624,2.116681,10.293618,5.541535
3.738797,5.256891,8.592155,7.080112,0.683334,2.410019,4.876412,0.693208,1.848217,1.787713,0.385566,3.621876,3.36882,0.05661
5.575964,9.974011,9.747403,3.854728,0.437334,3.191044,2.109852,1.076296,1.330025,5.677643,0.299885,5.973744,4.211025,7.982075
4.641265,4.928335,8.931509,6.956491,3.198003,7.520153,11.178022,8.13607,5.510105,11.520816,2.313396,7.149678,10.823895,10.126983
8.235022,7.69759,14.5128,7.585835,1.284668,2.008349,4.792577,3.721431,6.460124,9.83242,0.535508,6.39708,11.229401,9.900541
8.073867,8.190423,10.693262,6.310291,3.362003,3.034839,4.093951,4.797727,12.954793,7.20051,2.313396,9.219321,14.629414,8.460119
15.857655,2.792723,22.852245,12.614962,3.58067,3.793549,11.16405,5.928751,18.948544,12.8616,2.270556,34.572454,38.304735,7.541772
3.593757,1.149945,14.317852,8.237654,4.045337,4.061329,8.411462,7.771224,15.442113,11.553921,3.427254,5.597445,15.346848,7.831114
,,,,,4.342776,16.333128,,,3.083831,,,,
,,,,,2.227064,7.002854,,,4.524305,,,,
,,,,,6.935715,16.559691,,,10.732544,,,,
,,,,,4.931357,13.099457,,,5.132956,,,,
,,,,,3.197428,12.357979,,,3.205561,,,,
,,,,,15.668989,43.438294,,,14.790216,,,,
,,,,,7.30159,13.38781,,,11.381771,,,,
,,,,,5.169971,15.838809,,,9.089186,,,,
,,,,,15.716712,35.632171,,,25.218435,,,,
,,,,,3.308782,9.906979,,,3.205561,,,,
,,,,,1.511222,5.56109,,,4.037384,,,,
,,,,,6.140335,13.51139,,,10.022451,,,,
,,,,,3.53785,11.431455,,,4.132792,,,,
,,,,,3.929205,12.627299,,,3.913175,,,,
,,,,,14.323597,32.8553,,,17.289847,,,,
,,,,,5.056308,8.431712,,,8.844575,,,,
,,,,,4.273598,10.418028,,,10.641441,,,,
,,,,,11.051869,24.666811,,,19.066748,,,,
,,,,,2.019392,4.864449,,,3.493907,,,,
,,,,,2.833411,5.249551,,,5.051191,,,,
,,,,,5.181542,9.830241,,,12.039004,,,,
,,,,,3.35,9.262722,,,3.633663,,,,
,,,,,4.61799,14.309588,,,5.250843,,,,
,,,,,14.448831,27.828702,,,21.0433,,,,
,,,,,4.220344,5.344702,,,11.000884,,,,
,,,,,3.773666,8.575455,,,11.550928,,,,
,,,,,10.212001,27.162256,,,15.165504,,,,
,,,,,2.233394,4.287728,,,2.376977,,,,
,,,,,2.680073,4.02847,,,4.989687,,,,
,,,,,4.020109,6.042705,,,9.802573,,,,
,,,,,2.387421,5.584017,,,3.418132,,,,
,,,,,6.00706,14.578274,,,6.659464,,,,
,,,,,13.862445,15.23639,,,19.349769,,,,
,,,,,3.311584,3.829041,,,9.115018,,,,
,,,,,3.311584,4.886015,,,8.800707,,,,
,,,,,9.210825,18.945773,,,12.788528,,,,
,,,,,1.893991,4.002115,,,2.570169,,,,
,,,,,5.924404,4.590661,,,5.797375,,,,
,,,,,8.045674,7.964993,,,14.763981,,,,
,,,,,2.894018,4.610279,,,5.005067,,,,
,,,,,10.697261,18.244935,,,11.246907,,,,
,,,,,25.318872,13.948547,,,24.967361,,,,
,,,,,5.197111,5.296917,,,13.063418,,,,
,,,,,3.681919,3.904024,,,9.913511,,,,
,,,,,10.818477,12.830309,,,14.203568,,,,
,,,,,4.272844,5.650044,,,3.343153,,,,
,,,,,12.409429,10.122996,,,9.159852,,,,
,,,,,17.788364,8.514303,,,27.035091,,,,
,,,,,4.009021,4.882002,,,6.918781,,,,
,,,,,25.156978,31.568994,,,11.11947,,,,
,,,,,69.44995,16.556355,,,31.248563,,,,
,,,,,11.878028,7.294059,,,15.928404,,,,
,,,,,6.393568,6.155568,,,15.814358,,,,
,,,,,21.460929,17.443992,,,28.188332,,,,
,,,,,5.48446,6.059086,,,2.318932,,,,
,,,,,18.226886,13.951334,,,8.819546,,,,
,,,,,76.156491,26.841364,,,40.600322,,,,
,,,,,5.976273,7.911545,,,6.253514,,,,
,,,,,35.783118,42.297821,,,9.579851,,,,
,,,,,90.851266,39.75069,,,42.196964,,,,
,,,,,22.941512,10.55295,,,16.377741,,,,
,,,,,19.775144,12.792605,,,24.604004,,,,
,,,,,70.774199,45.153719,,,56.518163,,,,
,,,,,3.13705,5.750978,,,0.953499,,,,
,,,,,11.507404,23.459435,,,6.543618,,,,
,,,,,147.324089,65.272652,,,35.859027,,,,
,,,,,7.44683,10.837652,,,6.824059,,,,
,,,,,28.878453,53.144352,,,7.927126,,,,
,,,,,45.369956,41.054012,,,27.913205,,,,
,,,,,25.975949,14.424896,,,17.088191,,,,
,,,,,26.342427,26.477275,,,23.089623,,,,
,,,,,115.850973,94.369185,,,52.909825,,,,
,,,,,2.394002,4.462783,,,0.202326,,,,
,,,,,7.109898,23.434277,,,5.150112,,,,
,,,,,89.270327,77.697234,,,17.400021,,,,
,,,,,4.932222,11.48373,,,4.837427,,,,
,,,,,18.012704,42.144354,,,7.265337,,,,
,,,,,21.502756,33.741625,,,20.545268,,,,
,,,,,16.772438,16.114567,,,10.999168,,,,
,,,,,26.218652,41.192045,,,16.075707,,,,
,,,,,70.017357,68.09945,,,41.881446,,,,
,,,,,1.730604,4.630837,,,0.073573,,,,
,,,,,7.268537,16.973513,,,3.549899,,,,
,,,,,27.386809,34.413843,,,6.180134,,,,
,,,,,3.406283,8.489907,,,2.75141,,,,
,,,,,14.292196,41.493959,,,7.946507,,,,
,,,,,13.000647,19.7179,,,11.114249,,,,
,,,,,10.261428,14.370361,,,9.55753,,,,
,,,,,22.722747,57.775468,,,16.88859,,,,
,,,,,28.144414,75.986501,,,35.279594,,,,
,,,,,1.816684,1.819266,,,0.072406,,,,
,,,,,2.937919,11.613898,,,2.35318,,,,
,,,,,9.693714,17.788376,,,3.52977,,,,
,,,,,2.824376,8.875811,,,1.737733,,,,
,,,,,13.085804,46.731239,,,6.082064,,,,
,,,,,6.613866,13.690434,,,8.923981,,,,
,,,,,7.852561,16.499137,,,8.357762,,,,
,,,,,17.591413,49.82305,,,15.325534,,,,
,,,,,14.908687,72.835004,,,32.540029,,,,
,,,,,1.229582,0.018091,,,0.01782,,,,
,,,,,3.199709,8.937032,,,2.174087,,,,
,,,,,4.876412,8.539027,,,2.102806,,,,
,,,,,2.109852,7.363101,,,1.621655,,,,
,,,,,11.178022,34.680751,,,6.272777,,,,
,,,,,4.792577,10.293869,,,9.925956,,,,
,,,,,4.093951,9.389311,,,5.702524,,,,
,,,,,11.16405,32.093715,,,17.927311,,,,
,,,,,8.411462,54.562934,,,26.445456,,,,
,,,,,,2.609934,,,,,,,
,,,,,,1.221022,,,,,,,
,,,,,,9.752912,,,,,,,
,,,,,,2.777825,,,,,,,
,,,,,,0.702088,,,,,,,
,,,,,,8.63873,,,,,,,
,,,,,,11.00446,,,,,,,
,,,,,,2.304679,,,,,,,
,,,,,,7.387183,,,,,,,
,,,,,,1.633117,,,,,,,
,,,,,,1.007343,,,,,,,
,,,,,,9.569759,,,,,,,
,,,,,,1.757299,,,,,,,
,,,,,,0.660864,,,,,,,
,,,,,,7.840256,,,,,,,
,,,,,,8.771474,,,,,,,
,,,,,,2.403144,,,,,,,
,,,,,,5.752525,,,,,,,
,,,,,,1.6822,,,,,,,
,,,,,,0.525688,,,,,,,
,,,,,,9.462378,,,,,,,
,,,,,,1.486945,,,,,,,
,,,,,,0.540707,,,,,,,
,,,,,,5.54225,,,,,,,
,,,,,,8.88179,,,,,,,
,,,,,,1.965521,,,,,,,
,,,,,,4.403949,,,,,,,
,,,,,,0.871923,,,,,,,
,,,,,,0.280789,,,,,,,
,,,,,,5.275872,,,,,,,
,,,,,,0.827588,,,,,,,
,,,,,,0.798031,,,,,,,
,,,,,,3.000006,,,,,,,
,,,,,,5.896563,,,,,,,
,,,,,,1.004928,,,,,,,
,,,,,,3.783258,,,,,,,
,,,,,,0.872264,,,,,,,
,,,,,,0.610585,,,,,,,
,,,,,,10.19095,,,,,,,
,,,,,,0.872264,,,,,,,
,,,,,,0.95949,,,,,,,
,,,,,,3.736197,,,,,,,
,,,,,,7.268866,,,,,,,
,,,,,,0.63966,,,,,,,
,,,,,,4.724763,,,,,,,
,,,,,,1.788141,,,,,,,
,,,,,,0.785038,,,,,,,
,,,,,,16.543939,,,,,,,
,,,,,,0.61487,,,,,,,
,,,,,,1.687317,,,,,,,
,,,,,,5.305041,,,,,,,
,,,,,,6.734971,,,,,,,
,,,,,,0.872257,,,,,,,
,,,,,,6.74927,,,,,,,
,,,,,,2.359385,,,,,,,
,,,,,,0.672067,,,,,,,
,,,,,,29.985633,,,,,,,
,,,,,,0.443278,,,,,,,
,,,,,,1.658719,,,,,,,
,,,,,,7.807418,,,,,,,
,,,,,,9.296895,,,,,,,
,,,,,,2.503551,,,,,,,
,,,,,,12.152068,,,,,,,
,,,,,,0.829829,,,,,,,
,,,,,,0.956413,,,,,,,
,,,,,,36.217101,,,,,,,
,,,,,,1.589333,,,,,,,
,,,,,,3.375574,,,,,,,
,,,,,,6.160423,,,,,,,
,,,,,,8.171703,,,,,,,
,,,,,,2.306643,,,,,,,
,,,,,,12.644339,,,,,,,
,,,,,,0.968597,,,,,,,
,,,,,,1.90952,,,,,,,
,,,,,,27.148397,,,,,,,
,,,,,,0.982434,,,,,,,
,,,,,,3.68067,,,,,,,
,,,,,,1.923357,,,,,,,
,,,,,,4.068108,,,,,,,
,,,,,,2.130914,,,,,,,
,,,,,,7.984009,,,,,,,
,,,,,,0.193719,,,,,,,
,,,,,,2.698235,,,,,,,
,,,,,,9.796669,,,,,,,
,,,,,,0.599171,,,,,,,
,,,,,,4.030788,,,,,,,
,,,,,,2.042629,,,,,,,
,,,,,,2.560095,,,,,,,
,,,,,,4.275903,,,,,,,
,,,,,,5.024867,,,,,,,
,,,,,,0,,,,,,,
,,,,,,2.137952,,,,,,,
,,,,,,5.596803,,,,,,,
,,,,,,0.531084,,,,,,,
,,,,,,3.772055,,,,,,,
,,,,,,0.544701,,,,,,,
,,,,,,2.547166,,,,,,,
,,,,,,5.737827,,,,,,,
,,,,,,4.12909,,,,,,,
,,,,,,0,,,,,,,
,,,,,,2.681228,,,,,,,
,,,,,,2.372886,,,,,,,
,,,,,,0.160874,,,,,,,
,,,,,,1.474675,,,,,,,
,,,,,,1.997515,,,,,,,
,,,,,,0.656901,,,,,,,
,,,,,,2.091357,,,,,,,
,,,,,,2.667821,,,,,,,
